Names,ad_Phone,ad_WebSite,ad_about,ad_adress,ad_cuisine,ad_features,ad_meals,ad_prices,guru_time,near_att,near_hot,near_res,special_diets,ad_Phones,info,gps,img_url
Dar Cherifa,+212 5244-26550,http://marrakech-riads.com/restaurant-dar-cherifa/,"Situated in the very heart of the souks, this building is a hidden secret, only found by the discerning and curious visitor, where history is recorded in the delicate tracery of the stucco and skilfully carved wood. In the year 2000 , Marrakech Riads, a leading player in the restoration of the riads of Marrakech, brought Dar Cherifa back to life, and simultaneously unveiled a hidden treasure of the medina, the refined decor of this building recalling that of the Medersa Ben Youssef, jewel of the Saadian era (16th century) and one of the finest monuments of Marrakech. Renovated with the greatest care and attention to detail, with the participation of renowned craftsmen so as to maintain its authenticity and splendour, Dar Cherifa welcomes all visitors eager to meet new and interesting people. It is a real cultural venue, hosting regular exhibitions, workshops, concerts and events. This inimitable space draws one into a meditative state of mind and heart. Everyone fortunate enough to visit this building says that they breathe an atmosphere of peace and serenity the minute they cross the threshold. The mention of Moroccan culture immediately implies Moroccan cuisine, and what more beguiling setting than this pure and refined interior for sampling a cuisine abounding in cultural exchange; a subtle blend of sweet and sour, the inheritance of Berber, Jewish and Arab-Andalucian influences. Enjoy!","8 derb Cherfa Lakbir, Moussine Medina, Marrakech 40000 Morocco",Moroccan,"Reservations, Outdoor Seating, Private Dining, Seating, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service","Lunch, Dinner, Brunch, Late Night, Drinks",MAD 100 - MAD 171,10AM-12AM,"Le Jardin Secret,Musee de la Musique,By Faissal,Morocco Safaris,","Riad Chorfa,Riad Il Parco dei Principi,Riad Zouhour,Dar Naima,","Bazaar Cafe,Terrasse de la fontaine,Ksar Es Saoussan,", ,+212 5244-26550,"Dar Cherifa ; 8 derb Cherfa Lakbir, Moussine Medina, Marrakech 40000 Morocco ;  ; Situated in the very heart of the souks, this building is a hidden secret, only found by the discerning and curious visitor, where history is recorded in the delicate tracery of the stucco and skilfully carved wood. In the year 2000 , Marrakech Riads, a leading player in the restoration of the riads of Marrakech, brought Dar Cherifa back to life, and simultaneously unveiled a hidden treasure of the medina, the refined decor of this building recalling that of the Medersa Ben Youssef, jewel of the Saadian era (16th century) and one of the finest monuments of Marrakech. Renovated with the greatest care and attention to detail, with the participation of renowned craftsmen so as to maintain its authenticity and splendour, Dar Cherifa welcomes all visitors eager to meet new and interesting people. It is a real cultural venue, hosting regular exhibitions, workshops, concerts and events. This inimitable space draws one into a meditative state of mind and heart. Everyone fortunate enough to visit this building says that they breathe an atmosphere of peace and serenity the minute they cross the threshold. The mention of Moroccan culture immediately implies Moroccan cuisine, and what more beguiling setting than this pure and refined interior for sampling a cuisine abounding in cultural exchange; a subtle blend of sweet and sour, the inheritance of Berber, Jewish and Arab-Andalucian influences. Enjoy! ; Moroccan ; Lunch, Dinner, Brunch, Late Night, Drinks ; Reservations, Outdoor Seating, Private Dining, Seating, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service ;   ; Le Jardin Secret,Musee de la Musique,By Faissal,Morocco Safaris, ; Riad Chorfa,Riad Il Parco dei Principi,Riad Zouhour,Dar Naima,",/maps/dir//Dar+Cherifa+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee6826449547:0x9c4511245e527d07?sa=X,https://media-cdn.tripadvisor.com/media/photo-s/18/83/e8/00/dar-cherifa.jpg
Entrepotes,+212 5244-30539,http://www.facebook.com/EntrepotesMarrakech/?ref=ts&fref=ts,"Located in the heart of Gueliz, l'Entrepotes is a warm establishment. Menu offers a wide selection of savory tapas, without forgetting gourmet dishes and exquisite desserts. This restaurant is ideal for a late after work with friends, a romantic dinner with your partner or a sharing experience with your family. Covered terrace in winter, open air and air conditioning in summer, the garden feels like a pleasant escape for the time of an evening. Friendliness, Hospitality, Sharing are meeting every night all year round, at Entrepotes.","62, Rue Tarik Ibn Zyad, Marrakech 40000 Morocco","French, Moroccan, Bar, Mediterranean, European, Spanish, Asian, Healthy, Wine Bar, International","Seating, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Street Parking, Valet Parking, Wheelchair Accessible, Accepts Credit Cards, Table Service, Digital Payments", ,MAD 53 - MAD 243,6PM-1AM,"Desert Morocco Adventure,Mobilboard Marrakech,Naturelle d'Argan & Sawira Bazar,Alima Tours - Day Tours,","Toulousain Hotel,Radisson Blu Hotel, Marrakech Carre Eden,Villa El Gada,Les Trois Palmiers,","Patisserie Gato,Le Tire Bouchon Marrakech,Catanzaro,","Dinner, Drinks",+212 5244-30539,"Entrepotes ; 62, Rue Tarik Ibn Zyad, Marrakech 40000 Morocco ;  ; Located in the heart of Gueliz, l'Entrepotes is a warm establishment. Menu offers a wide selection of savory tapas, without forgetting gourmet dishes and exquisite desserts. This restaurant is ideal for a late after work with friends, a romantic dinner with your partner or a sharing experience with your family. Covered terrace in winter, open air and air conditioning in summer, the garden feels like a pleasant escape for the time of an evening. Friendliness, Hospitality, Sharing are meeting every night all year round, at Entrepotes. ; French, Moroccan, Bar, Mediterranean, European, Spanish, Asian, Healthy, Wine Bar, International ;   ; Seating, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Street Parking, Valet Parking, Wheelchair Accessible, Accepts Credit Cards, Table Service, Digital Payments ; Dinner, Drinks ; Desert Morocco Adventure,Mobilboard Marrakech,Naturelle d'Argan & Sawira Bazar,Alima Tours - Day Tours, ; Toulousain Hotel,Radisson Blu Hotel, Marrakech Carre Eden,Villa El Gada,Les Trois Palmiers,",/maps/dir//Entrepotes+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee8e96ad50c7:0xd9ff35245f590736?sa=X,https://media-cdn.tripadvisor.com/media/photo-s/1f/36/5a/fd/entrepotes.jpg
Naranj,+212 5243-86805,http://www.facebook.com/Naranj-Marrakech-267756820244722," A local attraction - Dar Si Said Museum, which is situated beside this restaurant, is a part of the authentic culture of the city. Lebanese cuisine is recommended to degust at Naranj. The hallmark of this place is serving mouthwatering falafels, hummus and beef shawarma. You can share tasty watermelon salads, almond cheesecakes and yogurt with your friends and spend a nice time here. It's nice to try delicious cordial, wine or Mojitos. You will be offered great fresh juices, mint tea or espresso. This spot is suitable for celebrating an anniversary, a wedding or a birthday party. Most visitors are happy about the friendly staff and the fabulous service at this restaurant. You will pay average prices for dishes. At Naranj, guests can enjoy the nice atmosphere and divine decor. As for the Google rating, this place achieved 4.6. ","84 Rue Riad Zitoun Jdid Medina, Marrakech 40000 Morocco","Lebanese, Healthy, Middle Eastern","Takeout, Outdoor Seating, Highchairs Available, Reservations, Seating, Free Wifi, Accepts Credit Cards, Table Service, Street Parking, Family style","Lunch, Dinner",MAD 32 - MAD 137,12PM-10PM,"Dar Si Said Museum,Herboristerie Lamlih,Spa by Jamila,Spa Ralia,","Riad Ralhaya,Riad le Clos des Arts,Riad Miral,Riad Palais Des Princesses,","Un Dejeuner a Marrakech,Casa Lalla Restaurant,Votre Table,Cuisine De Terroir,", ,+212 5243-86805,"Naranj ; 84 Rue Riad Zitoun Jdid Medina, Marrakech 40000 Morocco ;  ;  A local attraction - Dar Si Said Museum, which is situated beside this restaurant, is a part of the authentic culture of the city. Lebanese cuisine is recommended to degust at Naranj. The hallmark of this place is serving mouthwatering falafels, hummus and beef shawarma. You can share tasty watermelon salads, almond cheesecakes and yogurt with your friends and spend a nice time here. It's nice to try delicious cordial, wine or Mojitos. You will be offered great fresh juices, mint tea or espresso. This spot is suitable for celebrating an anniversary, a wedding or a birthday party. Most visitors are happy about the friendly staff and the fabulous service at this restaurant. You will pay average prices for dishes. At Naranj, guests can enjoy the nice atmosphere and divine decor. As for the Google rating, this place achieved 4.6.  ; Lebanese, Healthy, Middle Eastern ; Lunch, Dinner ; Takeout, Outdoor Seating, Highchairs Available, Reservations, Seating, Free Wifi, Accepts Credit Cards, Table Service, Street Parking, Family style ;   ; Dar Si Said Museum,Herboristerie Lamlih,Spa by Jamila,Spa Ralia, ; Riad Ralhaya,Riad le Clos des Arts,Riad Miral,Riad Palais Des Princesses,",/maps/dir//Naranj+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee46cb0aa8fb:0x2a410e16d919be?sa=X,https://media-cdn.tripadvisor.com/media/photo-s/16/a8/bf/91/photo3jpg.jpg
Dar Zellij,+212 5243-82627,http://marrakech-riads.com/restaurant-dar-zellij/,"Dear Customers, We inform you that the Restaurant Dar Zellij will be closed from July 2nd, 2019 to July 30th, 2019. We will be pleased to welcome you back starting from Wednesday July 31th, 2019. Happy holidays","No1 Kaa Sour, Sidi Ben Slimane Medina, Marrakech 40000 Morocco",Moroccan,"Reservations, Outdoor Seating, Private Dining, Seating, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service, Live Music", ,MAD 201 - MAD 703,12PM-12AM,"Musee du Parfum,Desert Morocco Holidays,Morocco Lucky Travel,Pathfinders Treks,","Riad Sapphire and Spa,Riad Kheirredine,Riad & Spa Al Jazira,Dar Seven,","Limoni Cafe and Restaurant,Lotus Privilege Moroccan Restaurant,Cafe - Restaurant Bab Ftouh,","Lunch, Dinner, Late Night",+212 5243-82627,"Dar Zellij ; No1 Kaa Sour, Sidi Ben Slimane Medina, Marrakech 40000 Morocco ;  ; Dear Customers, We inform you that the Restaurant Dar Zellij will be closed from July 2nd, 2019 to July 30th, 2019. We will be pleased to welcome you back starting from Wednesday July 31th, 2019. Happy holidays ; Moroccan ;   ; Reservations, Outdoor Seating, Private Dining, Seating, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service, Live Music ; Lunch, Dinner, Late Night ; Musee du Parfum,Desert Morocco Holidays,Morocco Lucky Travel,Pathfinders Treks, ; Riad Sapphire and Spa,Riad Kheirredine,Riad & Spa Al Jazira,Dar Seven,",/maps/dir//Dar+Zellij+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee656377aa83:0x2b7e563379bf2ae2?sa=X,https://www.darzaman.co.uk/wp-content/uploads/2013/05/dar-zellij-marrakech.jpg
Chez Yassine,+212 661-538081,http://www.facebook.com/chez-yassine-189689887735208," Visit this restaurant to dine at if you feel hungry after gazing at Cyber Park Arsat Moulay Abdeslam. Chez Yassine offers you to try mouthwatering tajine, couscous and meat pizza. A lot of visitors say that waiters offer tasty parfait, crepes and biscuits here. This place offers you delicious cordial. Get your meal started with great milkshakes, mint tea or fresh juices. The intimate atmosphere of this spot allows customers to relax after a hard working day. At this restaurant, the fabulous service is offered by the cute staff who is ready to help you. Based on the reviewers' opinions, prices are democratic. Many guests mention that the decor here is lovely. Google users awarded Chez Yassine 4.5. ","Rue Fatima Zahra Rmila Acote de Hammam El Bacha Rue Fatima Zohra Rmila Acote Du Hamame El Bacha, Marrakech 40000 Morocco","Italian, Moroccan, Pizza, Mediterranean, European, Middle Eastern,Vegetarian Friendly, Vegan Options, Halal","Takeout, Reservations, Outdoor Seating, Seating, Free Wifi, Table Service","Lunch, Dinner, Brunch, Late Night", ,1PM-10PM,"Dar El Bacha - Musee des Confluences,Majdoline travel,Rue du Mouassine Morocco Travel Guide,Morocco Safaris,","Riad Dreams,Riad Koutoubia Royal,Riad Dreams,Dar Tasnime,","Bazaar Cafe,Ma Maison,La Table Du Riad at 72 Riad Living,Gastro MK at Maison MK,", ,+212 661-538081,"Chez Yassine ; Rue Fatima Zahra Rmila Acote de Hammam El Bacha Rue Fatima Zohra Rmila Acote Du Hamame El Bacha, Marrakech 40000 Morocco ;  ;  Visit this restaurant to dine at if you feel hungry after gazing at Cyber Park Arsat Moulay Abdeslam. Chez Yassine offers you to try mouthwatering tajine, couscous and meat pizza. A lot of visitors say that waiters offer tasty parfait, crepes and biscuits here. This place offers you delicious cordial. Get your meal started with great milkshakes, mint tea or fresh juices. The intimate atmosphere of this spot allows customers to relax after a hard working day. At this restaurant, the fabulous service is offered by the cute staff who is ready to help you. Based on the reviewers' opinions, prices are democratic. Many guests mention that the decor here is lovely. Google users awarded Chez Yassine 4.5.  ; Italian, Moroccan, Pizza, Mediterranean, European, Middle Eastern,Vegetarian Friendly, Vegan Options, Halal ; Lunch, Dinner, Brunch, Late Night ; Takeout, Reservations, Outdoor Seating, Seating, Free Wifi, Table Service ;   ; Dar El Bacha - Musee des Confluences,Majdoline travel,Rue du Mouassine Morocco Travel Guide,Morocco Safaris, ; Riad Dreams,Riad Koutoubia Royal,Riad Dreams,Dar Tasnime,",/maps/dir//Chez+Yassine+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee5d6324833d:0x40a5586b0583695c?sa=X,https://media-cdn.tripadvisor.com/media/photo-s/19/f0/44/b3/chez-yassine.jpg
Dar Anika Kitchen,+212 5243-91751,http://riadanika.com,"Our terrace restaurant is open in the evenings from 6:30 pm until 11.30pm. We are serving Morrocan food with some daily specials using fresh in-season ingredients. Come and see us, eat some delicious food and listen to a traditional Moroccan musician playing the oud from 7pm to 10pm. We look forward to welcoming you into our place.","Riad Zitoun Kedim No 112, Marrakech 40000 Morocco","Bar, Mediterranean, African, Moroccan, Healthy, Pub","Reservations, Outdoor Seating, Private Dining, Seating, Highchairs Available, Serves Alcohol, Full Bar, Cash Only, Free Wifi, Accepts Credit Cards, Table Service, Live Music, Gift Cards Available","Breakfast, Dinner",MAD 95 - MAD 232,6:30PM-11PM,"Palacio da Bahia,El Badi Palace,Place des Ferblantiers,Slat Al Azama Synagogue,","Riad Dar Anika,Riad Aladdin,Riad Nesma Suites & Spa,Riad Africa and Spa,","Mazel مزال Cafe,Le Tanjia,Fox Art Food,", ,+212 5243-91751,"Dar Anika Kitchen ; Riad Zitoun Kedim No 112, Marrakech 40000 Morocco ;  ; Our terrace restaurant is open in the evenings from 6:30 pm until 11.30pm. We are serving Morrocan food with some daily specials using fresh in-season ingredients. Come and see us, eat some delicious food and listen to a traditional Moroccan musician playing the oud from 7pm to 10pm. We look forward to welcoming you into our place. ; Bar, Mediterranean, African, Moroccan, Healthy, Pub ; Breakfast, Dinner ; Reservations, Outdoor Seating, Private Dining, Seating, Highchairs Available, Serves Alcohol, Full Bar, Cash Only, Free Wifi, Accepts Credit Cards, Table Service, Live Music, Gift Cards Available ;   ; Palacio da Bahia,El Badi Palace,Place des Ferblantiers,Slat Al Azama Synagogue, ; Riad Dar Anika,Riad Aladdin,Riad Nesma Suites & Spa,Riad Africa and Spa,",/maps/dir//Dar+Anika+Kitchen+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee4663551c91:0xb191ff4f0f30bf6b?sa=X,https://media-cdn.tripadvisor.com/media/photo-s/1a/7c/6e/e7/welcome-to-our-rooftop.jpg
Roti D'or,+212 675-452260,https://www.facebook.com/Roti-Dor-283691641839295," Right after seeing Musee de Marrakech - Fondation Omar Benjelloun, come for a meal. To try perfectly cooked chicken roti, falafels and moroccan chicken is a really good idea. Being at this restaurant, eat good parfait, gelato and che. Take your chance to taste delicious Mojitos or good cordial. Great ice tea, cortado or mint tea are waiting for you at Roti d'Or. It's easy to find this place due to its convenient location. The fabulous service and the terrific staff are its big advantages. You may be impressed with average prices at this spot. The homey decor and cozy atmosphere let visitors feel relaxed here. This restaurant has got Google 4.6 according to the guests' opinions. ","Taoualat Ben Saleh 64, Marrakech 40000 Morocco","American, Latin, Cafe","Takeout, Outdoor Seating, Seating, Wheelchair Accessible, Free Wifi", ,"MAD 53 - MAD 10,555",12PM-9:30PM,"Boucharouite Museum,Destino Marruecos - Day Tours,Marrakech Weekend,Morocco Day Trip,","Dar Yasaman,Riad Meriem,Riad Noor Charana,Riad Karmela,","Cafe Restaurant Dar L'hssir,Color Safra-SOUS RESERVATION,Restaurant Andalous,","Lunch, Dinner, Drinks",+212 675-452260,"Roti D'or ; Taoualat Ben Saleh 64, Marrakech 40000 Morocco ;  ;  Right after seeing Musee de Marrakech - Fondation Omar Benjelloun, come for a meal. To try perfectly cooked chicken roti, falafels and moroccan chicken is a really good idea. Being at this restaurant, eat good parfait, gelato and che. Take your chance to taste delicious Mojitos or good cordial. Great ice tea, cortado or mint tea are waiting for you at Roti d'Or. It's easy to find this place due to its convenient location. The fabulous service and the terrific staff are its big advantages. You may be impressed with average prices at this spot. The homey decor and cozy atmosphere let visitors feel relaxed here. This restaurant has got Google 4.6 according to the guests' opinions.  ; American, Latin, Cafe ;   ; Takeout, Outdoor Seating, Seating, Wheelchair Accessible, Free Wifi ; Lunch, Dinner, Drinks ; Boucharouite Museum,Destino Marruecos - Day Tours,Marrakech Weekend,Morocco Day Trip, ; Dar Yasaman,Riad Meriem,Riad Noor Charana,Riad Karmela,",/maps/dir//Roti+D'or+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee4186ea8dcb:0x3b3e80303fec1c59?sa=X,https://media-cdn.tripadvisor.com/media/photo-s/1c/5a/f9/04/roti-d-or.jpg
Le Petit Cornichon,+212 5244-21251,http://www.petitcornichon.com,"Le Petit Cornichon is composed by a whole team trained by 3 stars Chefs. The Menue changes from a season to another. It is the first bistronomique (by day) and gastronomique (by night) of marrakech. We only work on fresh products cooked with a lot of love. A user-friendly and cordial spirit. The restaurant has been designed by Selma Laraqui, we prefered cosy with a timeless house made decoration rather than the architectural hype style. Le Petit Cornichon is also a dream came true of a young mariachi : Erwann Lance. Team Cornichon.","27, Rue Moulay Ali, Marrakech 40000 Morocco","French, International, Mediterranean","Reservations, Outdoor Seating, Private Dining, Seating, Street Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Table Service","Lunch, Dinner",MAD 84 - MAD 317,12PM-2PM7:30PM-10PM,"Morocco Discovery Trip,Morocco Vacation Tour,Olympia Tours,Libzar Cooking Class,","Tachfine Hotel,Hotel Gomassine,Diwane Hotel & Spa Marrakech,Yaad City Hotel,","Barometre Marrakech,La Palette Restaurant Marrakech,Chez Mado,Amal,", ,+212 5244-21251,"Le Petit Cornichon ; 27, Rue Moulay Ali, Marrakech 40000 Morocco ;  ; Le Petit Cornichon is composed by a whole team trained by 3 stars Chefs. The Menue changes from a season to another. It is the first bistronomique (by day) and gastronomique (by night) of marrakech. We only work on fresh products cooked with a lot of love. A user-friendly and cordial spirit. The restaurant has been designed by Selma Laraqui, we prefered cosy with a timeless house made decoration rather than the architectural hype style. Le Petit Cornichon is also a dream came true of a young mariachi : Erwann Lance. Team Cornichon. ; French, International, Mediterranean ; Lunch, Dinner ; Reservations, Outdoor Seating, Private Dining, Seating, Street Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Table Service ;   ; Morocco Discovery Trip,Morocco Vacation Tour,Olympia Tours,Libzar Cooking Class, ; Tachfine Hotel,Hotel Gomassine,Diwane Hotel & Spa Marrakech,Yaad City Hotel,",/maps/dir//Le+Petit+Cornichon+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee8ea8e8134f:0x31b1e90fda116993?sa=X,https://media-cdn.tripadvisor.com/media/photo-s/0f/00/c7/15/vu-depuis-la-table-de.jpg
Corner Cafe,+212 5244-28307,http://www.facebook.com/cornercafefood/,"Corner Cafe, a haven of peace in the souks of Marrakech, welcomes you in its warm winter room, with its terrace overlooking the Kenaria road. ""FRESHNESS and QUALITY of the products"", it is LEITMOTIV of the CHEF, which proposes a simple but ... the restaurant is located 2 minutes from the place jamaa el fna","18 Bis Kenaria dabachi, Marrakech 40000 Morocco","Moroccan, Mediterranean, Middle Eastern","Takeout, Outdoor Seating, Seating, Cash Only, Free Wifi, Table Service","Dinner, Drinks",MAD 63 - MAD 148,10AM-8PM,"Dunes Expedition,Musee Yves Saint Laurent Marrakech,Heritage Museum Marrakech,Hammam Cleopatre,","Riad Azra Marrakech,Riad Chic & Cheap,Riad Milouda,Hotel Mimosa,","Cuisine De Terroir,La Cantine Des Gazelles,Cafe Babouche,El Kennaria Restaurant,", ,+212 5244-28307,"Corner Cafe ; 18 Bis Kenaria dabachi, Marrakech 40000 Morocco ;  ; Corner Cafe, a haven of peace in the souks of Marrakech, welcomes you in its warm winter room, with its terrace overlooking the Kenaria road. ""FRESHNESS and QUALITY of the products"", it is LEITMOTIV of the CHEF, which proposes a simple but ... the restaurant is located 2 minutes from the place jamaa el fna ; Moroccan, Mediterranean, Middle Eastern ; Dinner, Drinks ; Takeout, Outdoor Seating, Seating, Cash Only, Free Wifi, Table Service ;   ; Dunes Expedition,Musee Yves Saint Laurent Marrakech,Heritage Museum Marrakech,Hammam Cleopatre, ; Riad Azra Marrakech,Riad Chic & Cheap,Riad Milouda,Hotel Mimosa,",/maps/dir//Corner+Cafe+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee4186934e6d:0xd47f05f47dbb1956?sa=X,https://media-cdn.tripadvisor.com/media/photo-s/19/5c/26/21/devanture-de-corner-cafe.jpg
Dar Chef,+212 5243-80045,http://kafemerstan.ma/,"Terrasse - Moroccan restaurant Located in the center of the medina, one minute from the Koranic school Medersa Ben Youssef and the Marrakech museum. Restaurant 10 minutes from Jemaa El Fnaa square, the kafé merstan offers 100% Moroccan cuisine to savor the various menus on the terrace in a pleasant setting inspired by our Moroccan traditions","2 Rue Souk Chaaria Kast Benahid, Marrakech 40000 Morocco","African, Moroccan, Mediterranean, Middle Eastern,Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Reservations, Outdoor Seating, Seating, Highchairs Available, Free Wifi, Accepts Credit Cards, Table Service","Lunch, Dinner, Drinks", ,9AM-11PM,"The Orientalist Museum of Marrakech,Maison de la Photographie,Rahba Kedima Square,Musee de Marrakech - Fondation Omar Benjelloun,","Riad Redous,Riad Camilia, the Riad and More,Dar Assiya Le Grand,Riad Dar Eliane,","L'Mida Marrakech,Le Trou au Mur,Shtatto Marrakech,", ,+212 5243-80045,"Dar Chef ; 2 Rue Souk Chaaria Kast Benahid, Marrakech 40000 Morocco ;  ; Terrasse - Moroccan restaurant Located in the center of the medina, one minute from the Koranic school Medersa Ben Youssef and the Marrakech museum. Restaurant 10 minutes from Jemaa El Fnaa square, the kafé merstan offers 100% Moroccan cuisine to savor the various menus on the terrace in a pleasant setting inspired by our Moroccan traditions ; African, Moroccan, Mediterranean, Middle Eastern,Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options ; Lunch, Dinner, Drinks ; Reservations, Outdoor Seating, Seating, Highchairs Available, Free Wifi, Accepts Credit Cards, Table Service ;   ; The Orientalist Museum of Marrakech,Maison de la Photographie,Rahba Kedima Square,Musee de Marrakech - Fondation Omar Benjelloun, ; Riad Redous,Riad Camilia, the Riad and More,Dar Assiya Le Grand,Riad Dar Eliane,",/maps/dir//Dar+Chef+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee4164763cbb:0x2665fb75a19356ae?sa=X,https://media-cdn.tripadvisor.com/media/photo-p/13/47/87/d6/dar-chef.jpg
Kui-Zin Medina,+212 653-100088,http://web.facebook.com/kuizinmedina,"Kui-Zin, this name is a play on words: Kui for ""cooked"" and Zin which means ""good"" in Arabic. ""Good"", even ""Better"" is our concept. And, to succeed in this challenge, we opted for ""homemade"": concocted by our chef Kenza, who lived 12 years in Italy and is passionate about culinary creation. she offers a varied menu: Moroccan, Italian, French dishes and revisited recipes. Natural, fresh products and aromatic herbs are featured at Kui-Zin. We take advantage of all the benefits of the products of our beautiful country to make you discover the magic of flavors, scents, and tastes, all in a lively and dynamic atmosphere provided by nice music and a charming terrace.","12, Rue Amsefah, Sidi Abdelaziz .Medina 12, Rue Amsefah, Sidi Abdelaziz . Medina, Marrakech 40000 Morocco","Moroccan, Mediterranean, Healthy, Middle Eastern","Takeout, Outdoor Seating, Seating, Highchairs Available, Free Wifi, Reservations, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service, Live Music, Family style", ,MAD 53 - MAD 116,11AM-10:30PM,"Le Jardin Secret,Musee du Parfum,Museum of Marrakesh,Women's Museum - Marrakech,","Riad Spice,Riad Cocoon,Riad & Spa Esprit du Maroc,Riad Banatti Marrakech,","Beats Burger,Cafe - Restaurant Bab Ftouh,Table de la Medina,","Lunch, Dinner, Drinks",+212 653-100088,"Kui-Zin Medina ; 12, Rue Amsefah, Sidi Abdelaziz .Medina 12, Rue Amsefah, Sidi Abdelaziz . Medina, Marrakech 40000 Morocco ;  ; Kui-Zin, this name is a play on words: Kui for ""cooked"" and Zin which means ""good"" in Arabic. ""Good"", even ""Better"" is our concept. And, to succeed in this challenge, we opted for ""homemade"": concocted by our chef Kenza, who lived 12 years in Italy and is passionate about culinary creation. she offers a varied menu: Moroccan, Italian, French dishes and revisited recipes. Natural, fresh products and aromatic herbs are featured at Kui-Zin. We take advantage of all the benefits of the products of our beautiful country to make you discover the magic of flavors, scents, and tastes, all in a lively and dynamic atmosphere provided by nice music and a charming terrace. ; Moroccan, Mediterranean, Healthy, Middle Eastern ;   ; Takeout, Outdoor Seating, Seating, Highchairs Available, Free Wifi, Reservations, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service, Live Music, Family style ; Lunch, Dinner, Drinks ; Le Jardin Secret,Musee du Parfum,Museum of Marrakesh,Women's Museum - Marrakech, ; Riad Spice,Riad Cocoon,Riad & Spa Esprit du Maroc,Riad Banatti Marrakech,",/maps/dir//Kui-Zin+Medina+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee690467c521:0x316c19a20472cb06?sa=X,https://riadaguaviva.com/wp-content/uploads/2015/12/kui-zin-restaurant-marrakech-terrace.jpg
